id,z,x,y
3,467.8200073,5114.509766,17531.61914
5,465.5499878,5142.680176,17584.74023
7,461.0400085,5173.189941,17629.83984
10,468.6099854,5113.419922,17565.19922
12,466.2799988,5136.890137,17614.59961
14,460.0499878,5161.430176,17662.16016
15,468.9500122,5108.850098,17605.4707
17,469,5122.72998,17646.66016
21,469.4599915,5107.47998,17654.84961
19,469.4299927,5087.029785,17616.66992
22,471.8999939,5041.509766,17573.5
24,471.5,5064.149902,17633.57031
26,469.9400024,5091.959961,17671.66016
33,473.6700134,5089.609863,17701.81055
31,471.6099854,5066.859863,17659.73047
29,473.4100037,5031.890137,17611.53906
35,473.1700134,4989.470215,17596.65039
37,473.769989,5011.97998,17646.90039
39,474.2600098,5034.77002,17700.21094
46,475.1900024,5033.779785,17729.90039
44,474.6199951,5003.02002,17679.75977
42,473.3699951,4980.660156,17632.21094
1,465.0799866,5132.299805,17536.06055
18,471.0100098,5067.620117,17578.16016
34,473.3200073,5012.160156,17601.18945
4,465.5400085,5127.27002,17556.08984
6,465.7399902,5154.279785,17605.73047
8,461.3399963,5180.299805,17654.96094
13,466.2900085,5149.72998,17639.19922
11,468.7399902,5123.370117,17589.91016
9,468.5100098,5093.879883,17541.91016
16,469.1199951,5113.049805,17628.17969
20,469.6300049,5097.540039,17636.09961
28,473.0299988,5018.669922,17581.25977
23,471.7099915,5049.930176,17603.46094
30,471.7399902,5049.089844,17642.25
25,470.25,5081.009766,17651.41016
32,471.6400146,5077.459961,17679.14063
27,473.230011,5104.439941,17694.7207
41,473.9400024,4968.410156,17607.73047
36,473.3900146,4995.990234,17624.32031
43,474.1799927,4995.669922,17656.25977
38,473.9200134,5025.049805,17671.35938
45,474.9700012,5020.640137,17705.06055
40,474.230011,5055.549805,17718.33008
2,465.269989,5146.740234,17562.5293
